Song Title,Artist,Features,Values
Huwag Muna Tayong Umuwi,Bini,acousticness,0.165
The Mighty Chorus - Live,Bini,acousticness,0.00127
My Soul Follows - Live,Bini,acousticness,0.0709
Waterfall - Live,Bini,acousticness,0.0937
Bringing Back the Ark - Live,Bini,acousticness,0.0261
Living Proof - Live,Bini,acousticness,0.0569
Rabbit Hole,Bini,acousticness,1.3e-05
One Life,Bini,acousticness,0.24
All Creation - Live,Bini,acousticness,0.00503
How Great / It Is Happening - Live,Bini,acousticness,0.0456
Faith Sees - Live,Bini,acousticness,0.00103
Lagi,Bini,acousticness,
Here With You,Bini,acousticness,0.319
I See Jesus,Bini,acousticness,0.0384
Feel Like Dancing,Bini,acousticness,0.0155
Song of My Heart - Live,Bini,acousticness,0.00377
All Because You're Here - Live,Bini,acousticness,0.038
I Delight - Live,Bini,acousticness,0.135
Be Still and Know - Live,Bini,acousticness,0.0366
Joy Never-Ending - Live,Bini,acousticness,0.0184
Nevroze ari,Bini,acousticness,0.0408
Theme From The House Of Glass,Bini,acousticness,0.00296
Yes (Obedience) - Live,Bini,acousticness,0.338
Groove is in the Heart - Dee-Booty Mix,Bini,acousticness,0.00101
Tell of Your Glory - Live,Bini,acousticness,0.0343
Gate of Heaven - Live,Bini,acousticness,0.252
Be Still and Know - Reprise,Bini,acousticness,0.00206
Unshakable Love,Bini,acousticness,0.757
The Mighty Chorus,Bini,acousticness,0.0264
Ain't Nothing Going On,Bini,acousticness,0.0325
Family Affair,Bini,acousticness,0.00473
Calma,Bini,acousticness,0.4
Lagi,Bini,acousticness,0.02
Blessed Be the Name - Live,Bini,acousticness,0.00954
Pushin P - Instrumental,Bini,acousticness,0.359
7 Dite,Bini,acousticness,0.303
Hide Away,Bini,acousticness,0.697
Receive,Bini,acousticness,0.708
Sitya Loss,Eddy Kenzo,acousticness,0.0235
Tweyagale,Eddy Kenzo,acousticness,0.729
Mbilo Mbilo,Eddy Kenzo,acousticness,0.196
Mariaroza,Eddy Kenzo,acousticness,0.212
Weekend,Eddy Kenzo,acousticness,0.0787
Balippila Boda,Eddy Kenzo,acousticness,0.418
Semyekozo,Eddy Kenzo,acousticness,0.551
Jambole,Eddy Kenzo,acousticness,0.199
Selebu,Eddy Kenzo,acousticness,0.539
Muleleetu,Eddy Kenzo,acousticness,0.496
Zigido,Eddy Kenzo,acousticness,0.225
Blessed,Eddy Kenzo,acousticness,0.648
Sango,Eddy Kenzo,acousticness,0.223
Mariarosa,Eddy Kenzo,acousticness,0.387
Byansi,Eddy Kenzo,acousticness,0.666
Stamina [Rmx],Eddy Kenzo,acousticness,0.528
Nsimbudde,Eddy Kenzo,acousticness,0.649
Kadondo Style,Eddy Kenzo,acousticness,0.243
Enjoyment,Eddy Kenzo,acousticness,0.762
Signal,Eddy Kenzo,acousticness,0.778
Soraye,Eddy Kenzo,acousticness,0.14
Nkulungula,Eddy Kenzo,acousticness,0.12
Nice and Lovely,Eddy Kenzo,acousticness,0.21
Come Over,Eddy Kenzo,acousticness,0.271
Mbilo Mbilo (Remix) [feat. Niniola],Eddy Kenzo,acousticness,0.188
Omutto,Eddy Kenzo,acousticness,0.156
So Good,Eddy Kenzo,acousticness,0.0279
Missounwa (Remix),Eddy Kenzo,acousticness,0.632
Nze Mutuufu,Eddy Kenzo,acousticness,0.38
Pull Up,Eddy Kenzo,acousticness,0.156
Style Zo (Kadondo),Eddy Kenzo,acousticness,0.253
Practical,Eddy Kenzo,acousticness,0.47
Melo,Eddy Kenzo,acousticness,0.214
Moni (Remix),Eddy Kenzo,acousticness,0.359
Bibaawo,Eddy Kenzo,acousticness,0.277
Viva Africa,Eddy Kenzo,acousticness,0.0115
She Be Like(Ekotide),Eddy Kenzo,acousticness,0.164
Sitya Loss (Remix) [feat. Toofan],Eddy Kenzo,acousticness,0.0581
Let's Go (Palalawe),Eddy Kenzo,acousticness,0.176
Leega,Eddy Kenzo,acousticness,0.343
Balaumba (Remix) [feat. Bebi Phillip],Eddy Kenzo,acousticness,0.503
Kikili Dance,Eddy Kenzo,acousticness,0.107
Ya Solo (feat. Heavy K),Eddy Kenzo,acousticness,0.484
Komole,Eddy Kenzo,acousticness,0.321
Yele,Eddy Kenzo,acousticness,0.229
Abakyakala - Remix,Eddy Kenzo,acousticness,0.0363
Freestyle,Eddy Kenzo,acousticness,0.0306
Konkon,Eddy Kenzo,acousticness,0.361
Shauri Yako,Eddy Kenzo,acousticness,0.162
Jambole (Remix) [feat. Kcee],Eddy Kenzo,acousticness,0.117
obsessed,Olivia Rodrigo,acousticness,
vampire,Olivia Rodrigo,acousticness,
so american,Olivia Rodrigo,acousticness,
bad idea right?,Olivia Rodrigo,acousticness,
favorite crime,Olivia Rodrigo,acousticness,
deja vu,Olivia Rodrigo,acousticness,
traitor,Olivia Rodrigo,acousticness,
good 4 u,Olivia Rodrigo,acousticness,
get him back!,Olivia Rodrigo,acousticness,
stranger,Olivia Rodrigo,acousticness,
drivers license,Olivia Rodrigo,acousticness,
all-american bitch,Olivia Rodrigo,acousticness,
"jealousy, jealousy",Olivia Rodrigo,acousticness,
lacy,Olivia Rodrigo,acousticness,
love is embarrassing,Olivia Rodrigo,acousticness,
brutal,Olivia Rodrigo,acousticness,
happier,Olivia Rodrigo,acousticness,
scared of my guitar,Olivia Rodrigo,acousticness,
the grudge,Olivia Rodrigo,acousticness,
"1 step forward, 3 steps back",Olivia Rodrigo,acousticness,
girl i’ve always been,Olivia Rodrigo,acousticness,
Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,Olivia Rodrigo,acousticness,
making the bed,Olivia Rodrigo,acousticness,
enough for you,Olivia Rodrigo,acousticness,
ballad of a homeschooled girl,Olivia Rodrigo,acousticness,
logical,Olivia Rodrigo,acousticness,
Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,Olivia Rodrigo,acousticness,0.838
pretty isn’t pretty,Olivia Rodrigo,acousticness,
teenage dream,Olivia Rodrigo,acousticness,
"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,acousticness,0.0902
hope ur ok,Olivia Rodrigo,acousticness,
all-american bitch,Olivia Rodrigo,acousticness,
bad idea right?,Olivia Rodrigo,acousticness,
get him back!,Olivia Rodrigo,acousticness,
love is embarrassing,Olivia Rodrigo,acousticness,
ballad of a homeschooled girl,Olivia Rodrigo,acousticness,
vampire,Olivia Rodrigo,acousticness,
lacy,Olivia Rodrigo,acousticness,
making the bed,Olivia Rodrigo,acousticness,
the grudge,Olivia Rodrigo,acousticness,
logical,Olivia Rodrigo,acousticness,
pretty isn’t pretty,Olivia Rodrigo,acousticness,
teenage dream,Olivia Rodrigo,acousticness,
All I Want,Olivia Rodrigo,acousticness,0.0902
vampire,Olivia Rodrigo,acousticness,
obsessed,Olivia Rodrigo,acousticness,0.0209
drivers license,Olivia Rodrigo,acousticness,0.743
so american,Olivia Rodrigo,acousticness,0.0258
good 4 u,Olivia Rodrigo,acousticness,0.297
deja vu,Olivia Rodrigo,acousticness,0.584
get him back!,Olivia Rodrigo,acousticness,
stranger,Olivia Rodrigo,acousticness,0.81
"Wondering - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,acousticness,0.808
bad idea right?,Olivia Rodrigo,acousticness,
"The Rose Song - From ""High School Musical: The Musical: The Series (Season 2)""",Olivia Rodrigo,acousticness,0.784
scared of my guitar,Olivia Rodrigo,acousticness,0.521
"Even When/The Best Part - From ""High School Musical: The Musical: The Series (Season 2)""",Olivia Rodrigo,acousticness,0.714
Start of Something New - Nini Version,Olivia Rodrigo,acousticness,
girl i’ve always been,Olivia Rodrigo,acousticness,0.394
brutal,Olivia Rodrigo,acousticness,0.0329
"Just for a Moment - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,acousticness,0.215
all-american bitch,Olivia Rodrigo,acousticness,
All I Want - Love That Lasts Mix,Olivia Rodrigo,acousticness,0.488
the grudge,Olivia Rodrigo,acousticness,
happier,Olivia Rodrigo,acousticness,0.788
"1 step forward, 3 steps back",Olivia Rodrigo,acousticness,0.938
"I Think I Kinda, You Know - Duet",Olivia Rodrigo,acousticness,0.47
Wondering,Olivia Rodrigo,acousticness,0.81
Out of the Old,Olivia Rodrigo,acousticness,0.56
"The Best Part - From ""High School Musical: The Musical: The Series (Season 2)""",Olivia Rodrigo,acousticness,0.905
pretty isn’t pretty,Olivia Rodrigo,acousticness,
love is embarrassing,Olivia Rodrigo,acousticness,
The Rose Song,Olivia Rodrigo,acousticness,0.786
traitor,Olivia Rodrigo,acousticness,0.691
lacy,Olivia Rodrigo,acousticness,
making the bed,Olivia Rodrigo,acousticness,
ballad of a homeschooled girl,Olivia Rodrigo,acousticness,
"jealousy, jealousy",Olivia Rodrigo,acousticness,0.198
logical,Olivia Rodrigo,acousticness,
teenage dream,Olivia Rodrigo,acousticness,
favorite crime,Olivia Rodrigo,acousticness,0.866
Just for a Moment,Olivia Rodrigo,acousticness,0.213
enough for you,Olivia Rodrigo,acousticness,0.753
all-american bitch,Olivia Rodrigo,acousticness,0.282
hope ur ok,Olivia Rodrigo,acousticness,0.388
bad idea right?,Olivia Rodrigo,acousticness,0.00271
"Granted - From ""High School Musical: The Musical: The Series (Season 2)""",Olivia Rodrigo,acousticness,0.132
get him back!,Olivia Rodrigo,acousticness,0.0137
love is embarrassing,Olivia Rodrigo,acousticness,0.00379
ballad of a homeschooled girl,Olivia Rodrigo,acousticness,0.0535
"Out of the Old - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,acousticness,0.56
vampire,Olivia Rodrigo,acousticness,0.171
lacy,Olivia Rodrigo,acousticness,0.803
making the bed,Olivia Rodrigo,acousticness,0.367
the grudge,Olivia Rodrigo,acousticness,0.909
Start of Something New - Nini Version,Olivia Rodrigo,acousticness,0.801
pretty isn’t pretty,Olivia Rodrigo,acousticness,0.00298
logical,Olivia Rodrigo,acousticness,0.849
teenage dream,Olivia Rodrigo,acousticness,0.854
Wondering - Ashlyn & Nini Piano Version,Olivia Rodrigo,acousticness,0.879
Espresso,Sabrina Carpenter,acousticness,0.133
Feather,Sabrina Carpenter,acousticness,
Nonsense,Sabrina Carpenter,acousticness,
because i liked a boy,Sabrina Carpenter,acousticness,
Looking at Me,Sabrina Carpenter,acousticness,0.00398
Read your Mind,Sabrina Carpenter,acousticness,
Vicious,Sabrina Carpenter,acousticness,
emails i can’t send,Sabrina Carpenter,acousticness,
Thumbs,Sabrina Carpenter,acousticness,0.0284
opposite,Sabrina Carpenter,acousticness,0.837
Already Over,Sabrina Carpenter,acousticness,
Sue Me,Sabrina Carpenter,acousticness,0.0422
Fast Times,Sabrina Carpenter,acousticness,
things i wish you said,Sabrina Carpenter,acousticness,0.742
Tornado Warnings,Sabrina Carpenter,acousticness,
Skin,Sabrina Carpenter,acousticness,0.428
I Knew You Were Trouble - Spotify Singles,Sabrina Carpenter,acousticness,0.406
Read your Mind,Sabrina Carpenter,acousticness,0.0102
bet u wanna,Sabrina Carpenter,acousticness,
Lonesome,Sabrina Carpenter,acousticness,0.418
Nonsense,Sabrina Carpenter,acousticness,
emails i can’t send,Sabrina Carpenter,acousticness,0.732
Vicious,Sabrina Carpenter,acousticness,
because i liked a boy,Sabrina Carpenter,acousticness,
Already Over,Sabrina Carpenter,acousticness,0.406
Can't Blame a Girl for Trying,Sabrina Carpenter,acousticness,0.449
Tornado Warnings,Sabrina Carpenter,acousticness,0.174
Fast Times,Sabrina Carpenter,acousticness,
bet u wanna,Sabrina Carpenter,acousticness,0.0139
Why,Sabrina Carpenter,acousticness,0.169
how many things,Sabrina Carpenter,acousticness,
Bad for Business,Sabrina Carpenter,acousticness,
Feather,Sabrina Carpenter,acousticness,
skinny dipping,Sabrina Carpenter,acousticness,
Bad for Business,Sabrina Carpenter,acousticness,0.386
decode,Sabrina Carpenter,acousticness,
Feather - Sped Up,Sabrina Carpenter,acousticness,
decode,Sabrina Carpenter,acousticness,0.663
skinny dipping,Sabrina Carpenter,acousticness,
Exhale,Sabrina Carpenter,acousticness,0.879
Paris,Sabrina Carpenter,acousticness,0.0482
cindy lou who,Sabrina Carpenter,acousticness,0.939
Nonsense - Sped Up Version,Sabrina Carpenter,acousticness,0.0309
how many things,Sabrina Carpenter,acousticness,0.902
Eyes Wide Open,Sabrina Carpenter,acousticness,0.00435
Honeymoon Fades,Sabrina Carpenter,acousticness,0.427
"Let Me Move You - From the Netflix film ""Work It""",Sabrina Carpenter,acousticness,0.0112
Almost Love,Sabrina Carpenter,acousticness,0.111
On Purpose,Sabrina Carpenter,acousticness,0.0294
Mona Lisa,Sabrina Carpenter,acousticness,0.277
In My Bed,Sabrina Carpenter,acousticness,0.0714
A Nonsense Christmas,Sabrina Carpenter,acousticness,
I'm Fakin,Sabrina Carpenter,acousticness,0.0939
"Wildside - From ""Adventures in Babysitting""",Sabrina Carpenter,acousticness,0.00404
Vicious,Sabrina Carpenter,acousticness,0.308
santa doesn’t know you like i do,Sabrina Carpenter,acousticness,0.125
Pushing 20,Sabrina Carpenter,acousticness,0.171
Alien,Sabrina Carpenter,acousticness,0.0588
Smoke and Fire,Sabrina Carpenter,acousticness,0.00567
We'll Be The Stars,Sabrina Carpenter,acousticness,0.00786
Diamonds Are Forever,Sabrina Carpenter,acousticness,0.00107
is it new years yet?,Sabrina Carpenter,acousticness,0.0907
prfct,Sabrina Carpenter,acousticness,0.18
I Can't Stop Me,Sabrina Carpenter,acousticness,0.288
Nonsense,Sabrina Carpenter,acousticness,
A Nonsense Christmas,Sabrina Carpenter,acousticness,0.0103
The Middle of Starting Over,Sabrina Carpenter,acousticness,0.0107
buy me presents,Sabrina Carpenter,acousticness,0.0134
Shadows,Sabrina Carpenter,acousticness,0.579
Run and Hide,Sabrina Carpenter,acousticness,0.863
Bad Time,Sabrina Carpenter,acousticness,0.243
Too Young,Sabrina Carpenter,acousticness,0.376
Feather - Spotify Singles,Sabrina Carpenter,acousticness,0.0983
Nonsense (with Coi Leray) - Remix,Sabrina Carpenter,acousticness,0.0105
Fast Times,Sabrina Carpenter,acousticness,0.0687
Tell Em,Sabrina Carpenter,acousticness,0.143
A Dream is a Wish Your Heart Makes/So This is Love,Sabrina Carpenter,acousticness,0.908
Feather,Sabrina Carpenter,acousticness,0.107
Take Off All Your Cool,Sabrina Carpenter,acousticness,0.216
because i liked a boy,Sabrina Carpenter,acousticness,0.349
Take You Back,Sabrina Carpenter,acousticness,0.0794
Hold Tight,Sabrina Carpenter,acousticness,0.126
Seamless,Sabrina Carpenter,acousticness,0.817
Your Love's Like,Sabrina Carpenter,acousticness,0.00621
white xmas,Sabrina Carpenter,acousticness,0.744
skinny dipping,Sabrina Carpenter,acousticness,0.267
Feels Like Loneliness,Sabrina Carpenter,acousticness,0.0975
Don't Want It Back,Sabrina Carpenter,acousticness,0.0493
Two Young Hearts,Sabrina Carpenter,acousticness,0.00394
All We Have Is Love,Sabrina Carpenter,acousticness,0.499
Rescue Me,Sabrina Carpenter,acousticness,0.826
Feather - Sped Up,Sabrina Carpenter,acousticness,0.0914
Best Thing I Got,Sabrina Carpenter,acousticness,0.00877
White Flag,Sabrina Carpenter,acousticness,0.287
Mirage,Sabrina Carpenter,acousticness,0.214
No Words,Sabrina Carpenter,acousticness,0.0255
Space,Sabrina Carpenter,acousticness,0.0597
Darling I'm a Mess,Sabrina Carpenter,acousticness,0.672
Right Now,Sabrina Carpenter,acousticness,0.0407
Nonsense,Sabrina Carpenter,acousticness,0.0328
Fortnight (feat. Post Malone),Taylor Swift,acousticness,
Down Bad,Taylor Swift,acousticness,
Fortnight (feat. Post Malone),Taylor Swift,acousticness,
I Can Do It With a Broken Heart,Taylor Swift,acousticness,
"So Long, London",Taylor Swift,acousticness,
But Daddy I Love Him,Taylor Swift,acousticness,
Who’s Afraid of Little Old Me?,Taylor Swift,acousticness,
The Tortured Poets Department,Taylor Swift,acousticness,
My Boy Only Breaks His Favorite Toys,Taylor Swift,acousticness,
Guilty as Sin?,Taylor Swift,acousticness,
Florida!!! (feat. Florence + The Machine),Taylor Swift,acousticness,
The Smallest Man Who Ever Lived,Taylor Swift,acousticness,
The Black Dog,Taylor Swift,acousticness,
imgonnagetyouback,Taylor Swift,acousticness,
Fresh Out The Slammer,Taylor Swift,acousticness,
The Alchemy,Taylor Swift,acousticness,
So High School,Taylor Swift,acousticness,
loml,Taylor Swift,acousticness,
Cruel Summer,Taylor Swift,acousticness,
thanK you aIMee,Taylor Swift,acousticness,
I Can Fix Him (No Really I Can),Taylor Swift,acousticness,
The Prophecy,Taylor Swift,acousticness,
The Albatross,Taylor Swift,acousticness,
Clara Bow,Taylor Swift,acousticness,
How Did It End?,Taylor Swift,acousticness,
I Hate It Here,Taylor Swift,acousticness,
Chloe or Sam or Sophia or Marcus,Taylor Swift,acousticness,
I Look in People's Windows,Taylor Swift,acousticness,
Down Bad,Taylor Swift,acousticness,
Peter,Taylor Swift,acousticness,
Cassandra,Taylor Swift,acousticness,
The Bolter,Taylor Swift,acousticness,
I Can Do It With a Broken Heart,Taylor Swift,acousticness,
The Manuscript,Taylor Swift,acousticness,
Robin,Taylor Swift,acousticness,
The Tortured Poets Department,Taylor Swift,acousticness,
"So Long, London",Taylor Swift,acousticness,
My Boy Only Breaks His Favorite Toys,Taylor Swift,acousticness,
Florida!!! (feat. Florence + The Machine),Taylor Swift,acousticness,
But Daddy I Love Him,Taylor Swift,acousticness,
Who’s Afraid of Little Old Me?,Taylor Swift,acousticness,
Guilty as Sin?,Taylor Swift,acousticness,
loml,Taylor Swift,acousticness,
The Alchemy,Taylor Swift,acousticness,
Fresh Out The Slammer,Taylor Swift,acousticness,
The Smallest Man Who Ever Lived,Taylor Swift,acousticness,
I Can Fix Him (No Really I Can),Taylor Swift,acousticness,
Clara Bow,Taylor Swift,acousticness,
Fortnight (feat. Post Malone),Taylor Swift,acousticness,
Down Bad,Taylor Swift,acousticness,
cardigan,Taylor Swift,acousticness,
Karma,Taylor Swift,acousticness,
...Ready For It?,Taylor Swift,acousticness,
The Man,Taylor Swift,acousticness,
Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,acousticness,
You’re Losing Me (From The Vault),Taylor Swift,acousticness,
Look What You Made Me Do,Taylor Swift,acousticness,
Delicate,Taylor Swift,acousticness,
Getaway Car,Taylor Swift,acousticness,
You Need To Calm Down,Taylor Swift,acousticness,
Our Song,Taylor Swift,acousticness,
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,acousticness,
Blank Space,Taylor Swift,acousticness,
Enchanted (Taylor's Version),Taylor Swift,acousticness,
Style (Taylor's Version),Taylor Swift,acousticness,
Paper Rings,Taylor Swift,acousticness,
Miss Americana & The Heartbreak Prince,Taylor Swift,acousticness,
"You're On Your Own, Kid",Taylor Swift,acousticness,
Lavender Haze,Taylor Swift,acousticness,0.258
"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,acousticness,0.345
Bejeweled,Taylor Swift,acousticness,0.0618
You Belong With Me (Taylor’s Version),Taylor Swift,acousticness,0.0623
Shake It Off,Taylor Swift,acousticness,0.0561
illicit affairs,Taylor Swift,acousticness,0.881
my tears ricochet,Taylor Swift,acousticness,0.806
exile (feat. Bon Iver),Taylor Swift,acousticness,0.778
champagne problems,Taylor Swift,acousticness,0.92
Midnight Rain,Taylor Swift,acousticness,0.69
I Did Something Bad,Taylor Swift,acousticness,0.0679
The Archer,Taylor Swift,acousticness,0.12
Blank Space (Taylor's Version),Taylor Swift,acousticness,0.0976
Wildest Dreams (Taylor's Version),Taylor Swift,acousticness,
willow,Taylor Swift,acousticness,0.833
the 1,Taylor Swift,acousticness,0.757
right where you left me - bonus track,Taylor Swift,acousticness,0.769
Style,Taylor Swift,acousticness,0.00253
I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,acousticness,0.0586
Say Don't Go (Taylor's Version) (From The Vault),Taylor Swift,acousticness,0.0656
Love Story (Taylor’s Version),Taylor Swift,acousticness,
Love Story (Taylor’s Version),Taylor Swift,acousticness,0.13
All Of The Girls You Loved Before,Taylor Swift,acousticness,0.707
invisible string,Taylor Swift,acousticness,0.838
this is me trying,Taylor Swift,acousticness,0.314
Gorgeous,Taylor Swift,acousticness,0.0713
Out Of The Woods (Taylor's Version),Taylor Swift,acousticness,0.000512
Fearless (Taylor’s Version),Taylor Swift,acousticness,0.0122
End Game,Taylor Swift,acousticness,0.00845
New Romantics (Taylor's Version),Taylor Swift,acousticness,0.0068
Hits Different,Taylor Swift,acousticness,0.148
Afterglow,Taylor Swift,acousticness,0.13
Dress,Taylor Swift,acousticness,0.0329
Daylight,Taylor Swift,acousticness,0.808
Mine (Taylor's Version),Taylor Swift,acousticness,0.00444
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,acousticness,0.033
tolerate it,Taylor Swift,acousticness,0.878
Call It What You Want,Taylor Swift,acousticness,0.186
Back To December (Taylor's Version),Taylor Swift,acousticness,0.00621
Vigilante Shit,Taylor Swift,acousticness,0.173
Picture To Burn,Taylor Swift,acousticness,0.173
I Knew You Were Trouble.,Taylor Swift,acousticness,0.00454
Shake It Off (Taylor's Version),Taylor Swift,acousticness,0.0103
Maroon,Taylor Swift,acousticness,0.0573
False God,Taylor Swift,acousticness,0.736
Wildest Dreams (Taylor's Version),Taylor Swift,acousticness,0.0374
Death By A Thousand Cuts,Taylor Swift,acousticness,0.454
Snow On The Beach (feat. More Lana Del Rey),Taylor Swift,acousticness,0.806
22 (Taylor's Version),Taylor Swift,acousticness,0.000443
Welcome To New York (Taylor's Version),Taylor Swift,acousticness,0.00961
Wildest Dreams,Taylor Swift,acousticness,0.0702
Cornelia Street,Taylor Swift,acousticness,0.781
Long Live (Taylor's Version),Taylor Swift,acousticness,0.0122
Long Live (Taylor's Version),Taylor Swift,acousticness,0.0122
I Think He Knows,Taylor Swift,acousticness,0.00889
I Think He Knows,Taylor Swift,acousticness,0.00889
We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,acousticness,0.0317
We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,acousticness,0.0317
I Knew You Were Trouble (Taylor's Version),Taylor Swift,acousticness,0.0129
I Knew You Were Trouble (Taylor's Version),Taylor Swift,acousticness,0.0129
mirrorball,Taylor Swift,acousticness,0.687
mirrorball,Taylor Swift,acousticness,0.687
I Forgot That You Existed,Taylor Swift,acousticness,0.298
I Forgot That You Existed,Taylor Swift,acousticness,0.298
Red (Taylor's Version),Taylor Swift,acousticness,0.00108
Red (Taylor's Version),Taylor Swift,acousticness,0.00108
King Of My Heart,Taylor Swift,acousticness,0.00882
King Of My Heart,Taylor Swift,acousticness,0.00882
Dancing With Our Hands Tied,Taylor Swift,acousticness,0.0604
Dancing With Our Hands Tied,Taylor Swift,acousticness,0.0604
The Way I Loved You (Taylor’s Version),Taylor Swift,acousticness,0.0033
The Way I Loved You (Taylor’s Version),Taylor Swift,acousticness,0.0033
Clean (Taylor's Version),Taylor Swift,acousticness,0.276
Clean (Taylor's Version),Taylor Swift,acousticness,0.276
London Boy,Taylor Swift,acousticness,0.0246
London Boy,Taylor Swift,acousticness,0.0246
Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Taylor Swift,acousticness,0.817
Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Taylor Swift,acousticness,0.817
You Belong With Me,Taylor Swift,acousticness,0.162
You Belong With Me,Taylor Swift,acousticness,0.162
betty,Taylor Swift,acousticness,0.6
betty,Taylor Swift,acousticness,0.6
Sparks Fly (Taylor’s Version),Taylor Swift,acousticness,0.0251
Sparks Fly (Taylor’s Version),Taylor Swift,acousticness,0.0251
Better Than Revenge (Taylor's Version),Taylor Swift,acousticness,0.000886
Better Than Revenge (Taylor's Version),Taylor Swift,acousticness,0.000886
the last great american dynasty,Taylor Swift,acousticness,0.467
the last great american dynasty,Taylor Swift,acousticness,0.467
Teardrops On My Guitar - Radio Single Remix,Taylor Swift,acousticness,0.288
Teardrops On My Guitar - Radio Single Remix,Taylor Swift,acousticness,0.288
Love Story,Taylor Swift,acousticness,0.17
Love Story,Taylor Swift,acousticness,0.17
This Is Why We Can't Have Nice Things,Taylor Swift,acousticness,0.0156
This Is Why We Can't Have Nice Things,Taylor Swift,acousticness,0.0156
All You Had To Do Was Stay (Taylor's Version),Taylor Swift,acousticness,0.000718
All You Had To Do Was Stay (Taylor's Version),Taylor Swift,acousticness,0.000718
Mastermind,Taylor Swift,acousticness,0.553
Mastermind,Taylor Swift,acousticness,0.553
I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),Taylor Swift,acousticness,0.167
I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),Taylor Swift,acousticness,0.167
I Wish You Would (Taylor's Version),Taylor Swift,acousticness,0.00357
I Wish You Would (Taylor's Version),Taylor Swift,acousticness,0.00357
New Year’s Day,Taylor Swift,acousticness,0.921
